width,seed,num_epochs,train_error,test_error
4,0,14264,0.9587550759315491,0.9626168012619019
4,1,12307,0.9418016076087952,0.942459225654602
4,2,10389,0.950151801109314,0.9600512981414795
8,0,14415,0.914726734161377,0.9212021231651306
8,1,10008,0.8932186365127563,0.8810701966285706
8,2,16315,0.8760121464729309,0.8554150462150574
16,0,20000,0.8125,0.804654598236084
16,1,20000,0.765941321849823,0.7311709523200989
16,2,20000,0.784919023513794,0.7619571089744568
32,0,20000,0.6776315569877625,0.6463258266448975
32,1,20000,0.6887651681900024,0.7002015709877014
32,2,20000,0.6328441500663757,0.5964815616607666
64,0,20000,0.5703441500663757,0.6970863342285156
64,1,20000,0.5637651681900024,0.7203591465950012
64,2,20000,0.5738866329193115,0.7243906855583191
128,0,20000,0.21229757368564606,0.7363020181655884
128,1,20000,0.20571862161159515,0.7366685271263123
128,2,20000,0.21381579339504242,0.7443650364875793
256,0,20000,0.008097166195511818,0.7372182607650757
256,1,20000,0.01239878498017788,0.7203591465950012
256,2,20000,0.008097166195511818,0.7390507459640503
512,0,20000,0.0,0.7289719581604004
512,1,20000,0.0,0.7293384671211243
512,2,20000,0.0,0.7251237034797668
