width,seed,num_epochs,train_error,test_error
1,0,12000,0.6729999780654907,0.6486825346946716
1,1,12000,0.6840000152587891,0.6612296104431152
1,2,12000,0.675000011920929,0.6336261034011841
2,0,12000,0.531000018119812,0.4353826940059662
2,1,12000,0.4309999942779541,0.33626097440719604
2,2,12000,0.6729999780654907,0.634880781173706
4,0,12000,0.33899998664855957,0.24466750025749207
4,1,12000,0.30399999022483826,0.19949811697006226
4,2,12000,0.2939999997615814,0.17942284047603607
8,0,12000,0.26100000739097595,0.17063990235328674
8,1,12000,0.2199999988079071,0.21957339346408844
8,2,12000,0.2199999988079071,0.2271016240119934
16,0,12000,0.15299999713897705,0.30740275979042053
16,1,12000,0.04800000041723251,0.39146801829338074
16,2,12000,0.0729999989271164,0.38143035769462585
32,0,12000,0.0,0.35884568095207214
32,1,12000,0.0,0.35257214307785034
32,2,12000,0.0,0.3739021420478821
64,0,10604,0.0,0.2923462986946106
64,1,10608,0.0,0.28732746839523315
64,2,10567,0.0,0.2735257148742676
128,0,8837,0.0,0.26097866892814636
128,1,8823,0.0,0.24466750025749207
128,2,8955,0.0,0.2634880840778351
256,0,7472,0.0,0.23212045431137085
256,1,7447,0.0,0.24090339243412018
256,2,7416,0.0,0.2145545780658722
512,0,6274,0.0,0.21957339346408844
512,1,6328,0.0,0.2170639932155609
512,2,6280,0.0,0.2145545780658722
1024,0,5215,0.0,0.2107904702425003
1024,1,5211,0.0,0.2045169323682785
1024,2,5246,0.0,0.2045169323682785
